State, Votes Hilary Clinton, Electors Hilary Clinton, Votes Donald Trump, Electors Donald Trump, Votes Tossup, Electors Tossup
AL,729547,0,1318255,9,44467,0
AK,116454,0,163387,3,18725,0
AZ,1161167,0,1252401,11,106327,0
AR,380494,0,684872,6,29829,0
CA,8753788,55,4483810,0,478500,0
CO,1338870,9,1202484,0,144121,0
CT,897572,7,673215,0,48676,0
DE,235603,3,185127,0,14757,0
DC,282830,3,12723,0,4906,0
FL,4504975,0,4617886,29,207043,0
GA,1877963,0,2089104,16,125306,0
HI,266891,3,128847,0,15954,0
ID,189765,0,409055,4,28331,0
IL,3090729,20,2146015,0,209596,0
IN,1033126,0,1557286,11,133993,0
IA,653669,0,800983,6,59186,0
KS,427005,0,671018,6,55406,0
KY,628854,0,1202971,8,53752,0
LA,780154,0,1178638,8,37978,0
ME,357735,3,335593,1,38105,0
MD,1677928,10,943169,0,79605,0
MA,1995196,11,1090893,0,138018,0
MI,2268839,0,2279543,16,172136,0
MN,1367716,10,1322951,0,112972,0
MS,485131,0,700714,6,14435,0
MO,1071068,0,1594511,10,97359,0
MT,177709,0,279240,3,28037,0
NE,284494,0,495961,5,38946,0
NV,539260,6,512058,0,37384,0
NH,348526,4,345790,0,30777,0
NJ,2148278,14,1601933,0,72477,0
NM,385234,5,319667,0,74541,0
NY,4556124,29,2819534,0,176598,0
NC,2189316,0,2362631,15,130126,0
ND,93758,0,216794,3,21434,0
OH,2394164,0,2841005,18,174498,0
OK,420375,0,949136,7,83481,0
OR,1002106,7,782403,0,94231,0
PA,2926441,0,2970733,20,146715,0
RI,252525,4,180543,0,14746,0
SC,855373,0,1155389,9,49204,0
SD,117458,0,227721,3,20850,0
TN,870695,0,1522925,11,70397,0
TX,3877868,0,4685047,36,283492,0
UT,310676,0,515231,6,39608,0
VT,178573,3,95369,0,10078,0
VA,1981473,13,1769443,0,118274,0
WA,1742718,8,1221747,0,160879,0
WV,188794,0,489371,5,23004,0
WI,1382536,0,1405284,10,106674,0
WY,55973,0,174419,3,13287,0
